date,open,high,low,close,volume,ticker
2016-12-21,44.6301,44.6301,44.6301,44.6301,155,BMLP
2016-12-22,,,,44.6301,181,BMLP
2016-12-29,45.7042,45.7042,45.7042,45.7042,205,BMLP
2016-12-30,45.6256,45.6256,45.6256,45.6256,255,BMLP
2017-01-03,46.8917,46.8917,46.7171,46.7171,250,BMLP
2017-01-05,46.7519,46.752,46.7395,46.7395,1000,BMLP
2017-01-09,46.394,46.394,46.3198,46.3198,312,BMLP
2017-01-10,,,,46.3198,82,BMLP
2017-01-12,46.3678,46.5337,46.2805,46.5337,16727,BMLP
2017-01-13,46.8044,46.8044,46.8044,46.8044,201,BMLP
2017-01-18,46.7854,46.7854,46.7854,46.7854,300,BMLP
2017-01-25,47.2672,47.6776,47.2585,47.6776,39000,BMLP
2017-01-30,47.3283,47.3283,47.3283,47.3283,100,BMLP
2017-02-01,48.5683,48.5683,48.5596,48.5596,5600,BMLP
2017-02-06,49.3717,49.3717,49.3717,49.3717,162,BMLP
2017-02-07,49.4241,49.4241,49.1472,49.1472,710,BMLP
2017-02-08,,,,49.1472,57,BMLP
2017-02-10,49.6249,49.6249,49.5212,49.5295,350,BMLP
2017-02-14,49.8257,49.8257,49.8257,49.8257,100,BMLP
2017-02-16,,,,49.8257,37,BMLP
2017-02-22,48.7342,48.7342,48.7342,48.7342,100,BMLP
2017-03-06,49.5638,49.5638,49.5638,49.5638,298,BMLP
2017-03-07,,,,49.5638,65,BMLP
2017-03-08,48.3324,48.3324,47.7824,47.7824,658,BMLP
2017-03-09,46.6884,46.8568,46.6884,46.8568,300,BMLP
2017-03-15,46.944,47.014,46.944,46.9703,550,BMLP
2017-03-17,47.2585,47.2585,47.2585,47.2585,100,BMLP
2017-03-21,47.2585,47.2585,46.2368,46.2368,892,BMLP
2017-03-22,,,,46.2368,7,BMLP
2017-03-23,47.1511,47.1537,47.1511,47.153,418,BMLP
2017-03-24,46.3532,46.3532,46.3532,46.3532,318,BMLP
2017-03-27,,,,46.3532,43,BMLP
2017-03-30,47.0088,47.0088,47.0088,47.0088,100,BMLP
2017-04-20,,,,47.0088,50,BMLP
2017-04-21,46.3353,46.3353,46.3353,46.3353,136,BMLP
2017-04-24,47.0265,47.0265,47.0265,47.0265,100,BMLP
2017-04-25,46.6632,46.6632,46.6632,46.6632,200,BMLP
2017-04-27,46.0165,46.0165,46.0165,46.0165,300,BMLP
2017-04-28,45.9988,45.9988,45.9988,45.9988,100,BMLP
2017-05-02,,,,45.9988,18,BMLP
2017-05-03,45.9456,45.9456,45.9279,45.9279,6600,BMLP
2017-05-09,,,,45.9279,44,BMLP
2017-05-16,46.2114,46.2114,46.2114,46.2114,16755,BMLP
2017-05-18,45.2084,45.2084,45.2084,45.2084,206,BMLP
2017-05-24,,,,45.2084,75,BMLP
2017-05-25,46.1494,46.1494,46.1494,46.1494,122,BMLP
2017-05-26,45.8216,45.8216,45.8216,45.8216,100,BMLP
