Date,Value,Index,Rate,Value,Index Value,Settle,Under $100_000,0%,Settle
1983-10-06,394.0,89.9,3.85,96.533,73.27,171.95,60.0,21.0,240.5
1983-10-07,397.4,89.9,3.85,96.533,73.27,172.1,60.0,21.0,240.5
1983-10-10,401.0,89.9,3.85,96.533,73.27,174.05,60.0,21.0,240.5
1983-10-11,399.0,89.9,3.85,96.533,73.27,171.6,60.0,21.0,240.5
1983-10-12,394.75,89.9,3.85,96.533,73.27,171.05,60.0,21.0,240.5
1983-10-13,398.65,89.9,3.85,96.533,73.27,171.95,60.0,21.0,240.5
1983-10-14,398.75,89.9,3.85,96.533,73.27,171.65,60.0,21.0,240.5
1983-10-17,395.0,89.9,3.85,96.533,73.27,172.5,60.0,21.0,240.5
1983-10-18,397.25,89.9,3.85,96.533,73.27,169.95,60.0,21.0,240.5
1983-10-19,394.0,89.9,3.85,96.533,73.27,168.5,60.0,21.0,240.5
1983-10-20,389.75,89.9,3.85,96.533,73.27,168.9,60.0,21.0,240.5
1983-10-21,394.25,89.9,3.85,96.533,73.27,167.7,60.0,21.0,240.5
1983-10-24,394.5,89.9,3.85,96.533,73.27,168.3,60.0,21.0,240.5
1983-10-25,398.0,89.9,3.85,96.533,73.27,168.1,60.0,21.0,240.5
1983-10-26,392.6,89.9,3.85,96.533,73.27,166.85,60.0,21.0,240.5
1983-10-27,384.5,89.9,3.85,96.533,73.27,167.15,60.0,21.0,240.5
1983-10-28,387.75,89.9,3.85,96.533,73.27,165.35,60.0,21.0,240.5
1983-10-31,382.0,89.3,3.85,96.533,73.27,165.45,60.0,21.0,240.5
1983-11-01,377.75,89.3,3.85,96.533,73.27,165.6,60.0,21.0,240.5
1983-11-02,383.0,89.3,3.85,96.533,73.27,166.7,60.0,21.0,240.5
1983-11-03,377.75,89.3,3.85,96.533,73.27,165.05,60.0,21.0,240.5
1983-11-04,381.0,89.3,3.85,96.533,73.27,164.2,60.0,21.0,240.5
1983-11-07,379.0,89.3,3.85,96.533,73.27,163.45,60.0,21.0,240.5
1983-11-08,382.25,89.3,3.85,96.533,73.27,163.75,60.0,21.0,240.5
1983-11-09,383.0,89.3,3.85,96.533,73.27,165.95,60.0,21.0,240.5
1983-11-10,381.8,89.3,3.85,96.533,73.27,166.2,60.0,21.0,240.5
1983-11-11,382.0,89.3,3.85,96.533,73.27,167.85,60.0,21.0,240.5
1983-11-14,382.6,89.3,3.85,96.533,73.27,167.8,60.0,21.0,240.5
1983-11-15,383.25,89.3,3.85,96.533,73.27,166.65,60.0,21.0,240.5
1983-11-16,383.25,89.3,3.85,96.533,73.27,166.8,60.0,21.0,240.5
1983-11-17,375.75,89.3,3.85,96.533,73.27,167.1,60.0,21.0,240.5
1983-11-18,375.25,89.3,3.85,96.533,73.27,166.7,60.0,21.0,240.5
1983-11-21,374.25,89.3,3.85,96.533,73.27,167.85,60.0,21.0,240.5
1983-11-22,376.5,89.3,3.85,96.533,73.27,167.85,60.0,21.0,240.5
1983-11-23,375.75,89.3,3.85,96.533,73.27,168.15,60.0,21.0,240.5
1983-11-24,375.5,89.3,3.85,96.533,73.27,168.15,60.0,21.0,240.5
1983-11-25,376.1,89.3,3.85,96.533,73.27,168.15,60.0,21.0,240.5
1983-11-28,394.25,89.3,3.85,96.533,73.27,166.9,60.0,21.0,240.5
1983-11-29,391.5,89.3,3.85,96.533,73.27,168.75,60.0,21.0,240.5
1983-11-30,405.0,91.1,3.85,96.533,73.27,166.4,60.0,21.0,240.5
1983-12-01,399.25,91.1,3.85,96.533,73.27,167.45,60.0,21.0,240.5
1983-12-02,400.75,91.1,3.85,96.533,73.27,165.95,60.0,21.0,240.5
1983-12-05,397.25,91.1,3.85,96.533,73.27,166.8,60.0,21.0,240.5
1983-12-06,397.0,91.1,3.85,96.533,73.27,166.05,60.0,21.0,240.5
1983-12-07,399.75,91.1,3.85,96.533,73.27,166.75,60.0,21.0,240.5
1983-12-08,401.0,91.1,3.85,96.533,73.27,165.45,60.0,21.0,240.5
1983-12-09,388.75,91.1,3.85,96.533,73.27,165.3,60.0,21.0,240.5
1983-12-12,391.25,91.1,3.85,96.533,73.27,166.15,60.0,21.0,240.5
1983-12-13,389.2,91.1,3.85,96.533,73.27,165.0,60.0,21.0,240.5
1983-12-14,389.0,91.1,3.85,96.533,73.27,163.5,60.0,21.0,240.5
1983-12-15,388.75,91.1,3.85,96.533,73.27,161.67,60.0,21.0,240.5
1983-12-16,377.25,91.1,3.85,96.533,73.27,165.75,60.0,21.0,240.5
1983-12-19,375.0,91.1,3.85,96.533,73.27,165.75,60.0,21.0,240.5
1983-12-20,378.1,91.1,3.85,96.533,73.27,165.2,60.0,21.0,240.5
1983-12-21,378.6,91.1,3.85,96.533,73.27,167.1,60.0,21.0,240.5
